Year,RealWithdrawal
2026,"$210,000.00 "
2027,"($10,000.00)"
2028,"$230,000.00 "
2029,"$210,000.00 "
2030,"$210,000.00 "
2031,"$140,000.00 "
2032,"$140,000.00 "
2033,"$170,000.00 "
2034,"$140,000.00 "
2035,"$140,000.00 "
2036,"$140,000.00 "
2037,"$140,000.00 "
2038,"$170,000.00 "
2039,"$140,000.00 "
2040,"$140,000.00 "
2041,"$140,000.00 "
2042,"$140,000.00 "
2043,"$140,000.00 "
2044,"$140,000.00 "
2045,"$170,000.00 "
2046,"$140,000.00 "
2047,"$140,000.00 "
2048,"$140,000.00 "
2049,"$140,000.00 "
2050,"$140,000.00 "
2051,"$140,000.00 "
2052,"$140,000.00 "
2053,"$140,000.00 "
2054,"$140,000.00 "
2055,"$140,000.00 "
